"filename", "language", "Docker", "JSON with Comments", "TypeScript", "YAML", "JavaScript", "Markdown", "Vue", "XML", "JSON", "PowerShell", "HTML", "comment", "blank", "total"
"c:\Users\TorbjörnVading\Desktop\repos\itemper-web\src\components\toolbar.vue", "Vue", 0, 0, 0, 0, 0, 0, 141, 0, 0, 0, 0, 0, 8, 149
"c:\Users\TorbjörnVading\Desktop\repos\itemper-web\src\config.ts", "TypeScript", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 28
"c:\Users\TorbjörnVading\Desktop\repos\itemper-web\src\features\admin\admin-config-card.vue", "Vue", 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 3, 22
"c:\Users\TorbjörnVading\Desktop\repos\itemper-web\src\features\admin\admin-log-level-card.vue", "Vue", 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 3, 6, 42
"c:\Users\TorbjörnVading\Desktop\repos\itemper-web\src\features\admin\admin-log-level-menu.vue", "Vue", 0, 0, 0, 0, 0, 0, 136, 0, 0, 0, 0, 3, 8, 147
"c:\Users\TorbjörnVading\Desktop\repos\itemper-web\src\features\admin\admin-node-env-label.vue", "Vue", 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 3, 24
"c:\Users\TorbjörnVading\Desktop\repos\itemper-web\src\features\admin\admin-page.vue", "Vue", 0, 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 4, 9, 61
"c:\Users\TorbjörnVading\Desktop\repos\itemper-web\src\features\bluetooth-device\available-wifi-characteristics.ts", "TypeScript", 0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 67
"c:\Users\TorbjörnVading\Desktop\repos\itemper-web\src\features\bluetooth-device\ble-uuid.ts", "TypeScript", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 10, 3, 31
"c:\Users\TorbjörnVading\Desktop\repos\itemper-web\src\features\bluetooth-device\bluetooth-service.ts", "TypeScript", 0, 0, 199, 0, 0, 0, 0, 0, 0, 0, 0, 25, 10, 234
"c:\Users\TorbjörnVading\Desktop\repos\itemper-web\src\features\bluetooth-device\current-wifi-characteristic.ts", "TypeScript", 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 41
"c:\Users\TorbjörnVading\Desktop\repos\itemper-web\src\features\bluetooth-device\device-info-characteristic.ts", "TypeScript", 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 36
"c:\Users\TorbjörnVading\Desktop\repos\itemper-web\src\features\bluetooth-device\device-name-characteristic.ts", "TypeScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 28, 3, 36
"c:\Users\TorbjörnVading\Desktop\repos\itemper-web\src\features\device-settings\device-api-key-setting.vue", "Vue", 0, 0, 0, 0, 0, 0, 65, 0, 0, 0, 0, 0, 6, 71
"c:\Users\TorbjörnVading\Desktop\repos\itemper-web\src\features\device-settings\device-color-setting.vue", "Vue", 0, 0, 0, 0, 0, 0, 71, 0, 0, 0, 0, 0, 2, 73
"c:\Users\TorbjörnVading\Desktop\repos\itemper-web\src\features\device-settings\device-name-setting.vue", "Vue", 0, 0, 0, 0, 0, 0, 72, 0, 0, 0, 0, 0, 2, 74
"c:\Users\TorbjörnVading\Desktop\repos\itemper-web\src\features\device-settings\device-setting.vue", "Vue", 0, 0, 0, 0, 0, 0, 75, 0, 0, 0, 0, 0, 2, 77
"c:\Users\TorbjörnVading\Desktop\repos\itemper-web\src\features\device-settings\device-settings-list.vue", "Vue", 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 2, 19
"c:\Users\TorbjörnVading\Desktop\repos\itemper-web\src\features\device-settings\device-wifi-setting.vue", "Vue", 0, 0, 0, 0, 0, 0, 196, 0, 0, 0, 0, 0, 4, 200
"c:\Users\TorbjörnVading\Desktop\repos\itemper-web\src\features\devices\create-device-manually.vue", "Vue", 0, 0, 0, 0, 0, 0, 283, 0, 0, 0, 0, 1, 8, 292
"c:\Users\TorbjörnVading\Desktop\repos\itemper-web\src\features\devices\device-card.vue", "Vue", 0, 0, 0, 0, 0, 0, 228, 0, 0, 0, 0, 1, 22, 251
"c:\Users\TorbjörnVading\Desktop\repos\itemper-web\src\features\devices\device-config.ts", "TypeScript", 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 38
"c:\Users\TorbjörnVading\Desktop\repos\itemper-web\src\features\devices\device-data-validators.ts", "TypeScript", 0, 0, 104, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 106
"c:\Users\TorbjörnVading\Desktop\repos\itemper-web\src\features\devices\device-data.ts", "TypeScript", 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 35
"c:\Users\TorbjörnVading\Desktop\repos\itemper-web\src\features\devices\device-stepper-content-step1.vue", "Vue", 0, 0, 0, 0, 0, 0, 358, 0, 0, 0, 0, 3, 10, 371
"c:\Users\TorbjörnVading\Desktop\repos\itemper-web\src\features\devices\device-stepper-content-step2.vue", "Vue", 0, 0, 0, 0, 0, 0, 162, 0, 0, 0, 0, 0, 4, 166
"c:\Users\TorbjörnVading\Desktop\repos\itemper-web\src\features\devices\device.ts", "TypeScript", 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 59
